,country,year,GDP,country.code3
1,Algeria,2013,13779.8227384812,DZA 
2,Argentina,2013,20252,ARG
3,Armenia,2011,6803.4829970848,ARM
4,Australia,2012,42596.2941186879,AUS 
5,Azerbaijan,2011,15754.1523626148,AZE
6,Bahrain,2014,45666.4894524738,BHR
7,Belarus,2011,16603.3895298874,BLR 
8,Brazil,2014,15951.2212185795,BRA
9,Chile,2011,20266.0360287483,CHL
10,China,2012,11219.927669958,CHN 
11,Colombia,2012,12058.461303685,COL
12,Cyprus,2011,32983.1851844809,CYP 
13,Ecuador,2013,10997.8188746584,ECU
14,Egypt,2013,10402.0038381834,EGY
15,Estonia,2011,23954.8659685125,EST 
16,Georgia,2014,9204.3186730589,GEO
17,Germany,2013,44184.8230352597,DEU
18,Ghana,2012,3726.6439391106,GHA
19,Hong Kong,2013,53464.9265085994,HKG 
20,India,2014,5672.189443572,IND
21,Iraq,2012,14813.5649123457,IRQ
22,Japan,2010,33760.9768142973,JPN
23,Jordan,2014,10774.8682262501,JOR
24,Kazakhstan,2011,22134.0921108481,KAZ 
25,Kuwait,2013,76779.28856115,KWT 
26,Kyrgyzstan,2011,2920.6032099095,KGZ 
27,Lebanon,2013,14537.8991412559,LBN
28,Libya,2014,15654.0988696528,LBY 
29,Malaysia,2012,23124.660480641,MYS 
30,Mexico,2012,16289.5652780893,MEX 
31,Morocco,2011,6746.8994563416,MAR 
32,Netherlands,2012,46448.884799242,NLD
33,New Zealand,2011,32734.3831571154,NZL
34,Nigeria,2011,5230.5988537581,NGA 
35,Pakistan,2012,4460.9230726128,PAK 
36,Palestine,2013,NA,
37,Peru,2012,11051.2537713681,PER
38,Philippines,2012,6153.0704486469,PHL 
39,Poland,2012,23598.5592763806,POL 
40,Qatar,2010,125088.006002205,QAT
41,Romania,2012,18910.2782731779,ROU
42,Russia,2011,24074.364580654,RUS 
43,Rwanda,2012,1510.6781095014,RWA
44,Singapore,2012,77173.2382950922,SGP 
45,Slovenia,2011,28513.4748320932,SVN 
46,South Africa,2013,12881.9428178722,ZAF
47,South Korea,2010,30465.2450528476,KOR
48,Spain,2011,32530.0931368398,ESP 
49,Sweden,2011,43709.2114536214,SWE 
50,Taiwan,2012,NA,TWN
51,Thailand,2013,15437.3172287742,THA
52,Trinidad and Tobago,2010,29307.8711600633,TTO
53,Tunisia,2013,10984.9132065336,TUN 
54,Turkey,2011,17796.4751875134,TUR 
55,Ukraine,2011,8281.8671261235,UKR 
56,United States,2011,49781.8006563523,USA 
57,Uruguay,2011,17904.8198639195,URY
58,Uzbekistan,2011,4412.4741929082,UZB
59,Yemen,2014,3791.6031948866,YEM 
60,Zimbabwe,2012,1679.1255940664,ZWE 
